Hospital Name,State,County,Latitude,Longitude,Year,Total Surgeries for All Cancer Types,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach
All PA Hospitals Combined,PA,N/A,,,2018,25756,1073,1173,11549,3632,359,539,2410,520,3281,901,319
WellSpan Gettysburg,,Adams,,,2018,87,1,0,57,27,0,0,0,0,1,1,0
Allegheny General,,Allegheny,,,2018,746,29,104,184,79,18,33,113,49,97,27,13
Allegheny Valley,,Allegheny,,,2018,45,0,0,35,10,0,0,0,0,0,0,0
Forbes,,Allegheny,,,2018,238,18,6,112,54,2,0,31,0,8,7,0
Heritage Valley Sewickley,,Allegheny,,,2018,71,6,0,40,17,1,0,1,0,5,1,0
Jefferson,,Allegheny,,,2018,221,10,0,109,54,0,0,20,0,17,7,4
Magee Womens UPMC,,Allegheny,,,2018,828,1,0,819,4,0,0,0,0,0,1,3
Ohio Valley,,Allegheny,,,2018,26,2,0,17,5,0,0,0,0,0,2,0
St Clair,,Allegheny,,,2018,416,14,0,203,48,4,0,52,0,81,13,1
UPMC East,,Allegheny,,,2018,50,11,0,2,24,0,0,10,0,2,0,1
UPMC McKeesport,,Allegheny,,,2018,23,2,0,6,14,0,0,0,0,1,0,0
UPMC Mercy,,Allegheny,,,2018,177,35,14,3,22,7,1,35,0,55,5,0
UPMC Passavant,,Allegheny,,,2018,548,3,0,211,115,18,37,71,0,27,62,4
UPMC Presby Shadyside,,Allegheny,,,2018,1391,104,168,80,181,54,130,170,85,342,39,38
UPMC St Margaret,,Allegheny,,,2018,153,8,0,46,40,0,1,48,0,1,5,4
West Penn,,Allegheny,,,2018,110,2,5,64,6,15,2,0,1,7,4,4
ACMH,,Armstrong,,,2018,41,2,0,21,11,0,0,5,0,0,2,0
Heritage Valley Beaver,,Beaver,,,2018,152,5,0,96,32,0,0,5,0,4,8,2
UPMC Bedford,,Bedford,,,2018,17,2,0,9,4,0,0,0,0,2,0,0
Reading,,Berks,,,2018,415,29,13,192,69,2,0,36,7,56,7,4
St Joseph Reading,,Berks,,,2018,99,1,2,58,24,0,0,9,0,0,3,2
Surgical Inst Reading,,Berks,,,2018,16,0,0,15,1,0,0,0,0,0,0,0
Conemaugh Nason MC,,Blair,,,2018,16,0,0,10,6,0,0,0,0,0,0,0
Tyrone Regional Health,,Blair,,,2018,25,0,0,24,1,0,0,0,0,0,0,0
UPMC Altoona,,Blair,,,2018,159,5,2,68,39,0,0,17,0,21,5,2
Robert Packer,,Bradford,,,2018,301,4,4,124,46,7,3,44,5,44,15,5
Troy Community,,Bradford,,,2018,2,0,0,0,2,0,0,0,0,0,0,0
Doylestown,,Bucks,,,2018,198,33,0,89,25,0,0,9,0,32,7,3
Grand View,,Bucks,,,2018,143,0,0,103,19,3,1,15,1,0,1,0
Lower Bucks,,Bucks,,,2018,4,1,0,2,1,0,0,0,0,0,0,0
St Luke's Quakertown,,Bucks,,,2018,16,1,0,8,6,0,0,0,0,1,0,0
St Mary MC,,Bucks,,,2018,310,13,6,168,42,0,0,19,0,53,9,0
Butler Memorial,,Butler,,,2018,156,7,2,59,31,0,0,26,0,31,0,0
