Hospital Name,State,County,Year,Total Surgeries for All Cancer Types,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach
All PA Hospitals Combined,PA,N/A,2018,"25,756","1,073","1,173","11,549","3,632",359,539,"2,410",520,"3,281",901,319
WellSpan Gettysburg,PA,Adams,2018,87,1,0,57,27,0,0,0,0,1,1,0
Allegheny General,PA,Allegheny,2018,746,29,104,184,79,18,33,113,49,97,27,13
Allegheny Valley,PA,Allegheny,2018,45,0,0,35,10,0,0,0,0,0,0,0
Forbes,PA,Allegheny,2018,238,18,6,112,54,2,0,31,0,8,7,0
Heritage Valley Sewickley,PA,Allegheny,2018,71,6,0,40,17,1,0,1,0,5,1,0
Jefferson,PA,Allegheny,2018,221,10,0,109,54,0,0,20,0,17,7,4
Magee Womens UPMC,PA,Allegheny,2018,828,1,0,819,4,0,0,0,0,0,1,3
Ohio Valley,PA,Allegheny,2018,26,2,0,17,5,0,0,0,0,0,2,0
St Clair,PA,Allegheny,2018,416,14,0,203,48,4,0,52,0,81,13,1
UPMC East,PA,Allegheny,2018,50,11,0,2,24,0,0,10,0,2,0,1
UPMC McKeesport,PA,Allegheny,2018,23,2,0,6,14,0,0,0,0,1,0,0
UPMC Mercy,PA,Allegheny,2018,177,35,14,3,22,7,1,35,0,55,5,0
UPMC Passavant,PA,Allegheny,2018,548,3,0,211,115,18,37,71,0,27,62,4
UPMC Presby Shadyside,PA,Allegheny,2018,"1,391",104,168,80,181,54,130,170,85,342,39,38
UPMC St Margaret,PA,Allegheny,2018,153,8,0,46,40,0,1,48,0,1,5,4
West Penn,PA,Allegheny,2018,110,2,5,64,6,15,2,0,1,7,4,4
ACMH,PA,Armstrong,2018,41,2,0,21,11,0,0,5,0,0,2,0
Heritage Valley Beaver,PA,Beaver,2018,152,5,0,96,32,0,0,5,0,4,8,2
UPMC Bedford,PA,Bedford,2018,17,2,0,9,4,0,0,0,0,2,0,0
Reading,PA,Berks,2018,415,29,13,192,69,2,0,36,7,56,7,4
St Joseph Reading,PA,Berks,2018,99,1,2,58,24,0,0,9,0,0,3,2
Surgical Inst Reading,PA,Berks,2018,16,0,0,15,1,0,0,0,0,0,0,0
Conemaugh Nason MC,PA,Blair,2018,16,0,0,10,6,0,0,0,0,0,0,0
Tyrone Regional Health,PA,Blair,2018,25,0,0,24,1,0,0,0,0,0,0,0
UPMC Altoona,PA,Blair,2018,159,5,2,68,39,0,0,17,0,21,5,2
Robert Packer,PA,Bradford,2018,301,4,4,124,46,7,3,44,5,44,15,5
Troy Community,PA,Bradford,2018,2,0,0,0,2,0,0,0,0,0,0,0
Doylestown,PA,Bucks,2018,198,33,0,89,25,0,0,9,0,32,7,3
Grand View,PA,Bucks,2018,143,0,0,103,19,3,1,15,1,0,1,0
Lower Bucks,PA,Bucks,2018,4,1,0,2,1,0,0,0,0,0,0,0
St Luke's Quakertown,PA,Bucks,2018,16,1,0,8,6,0,0,0,0,1,0,0
St Mary MC,PA,Bucks,2018,310,13,6,168,42,0,0,19,0,53,9,0
Butler Memorial,PA,Butler,2018,156,7,2,59,31,0,0,26,0,31,0,0
Conemaugh Memorial,PA,Cambria,2018,217,17,11,81,41,0,2,22,1,26,15,1
Blue Mountain,PA,Carbon,2018,16,0,0,9,6,1,0,0,0,0,0,0
Mount Nittany,PA,Centre,2018,179,7,0,74,26,1,0,39,0,28,3,1
Brandywine,PA,Chester,2018,42,3,0,21,10,0,0,2,0,3,3,0
Chester County,PA,Chester,2018,345,14,0,253,38,0,1,1,0,37,1,0
Jennersville,PA,Chester,2018,24,0,0,15,8,0,0,0,0,0,0,1
Paoli,PA,Chester,2018,279,7,2,155,33,0,0,25,0,55,2,0
Phoenixville,PA,Chester,2018,179,2,1,112,19,0,0,11,0,32,1,1
Clarion,PA,Clarion,2018,26,1,0,11,13,0,0,0,0,0,1,0
Penn Highlands Clearfield,PA,Clearfield,2018,11,0,0,8,3,0,0,0,0,0,0,0
Penn Highlands DuBois,PA,Clearfield,2018,189,2,0,99,32,1,2,40,0,9,3,1
Lock Haven,PA,Clinton,2018,2,0,0,0,0,0,0,0,0,2,0,0
Berwick,PA,Columbia,2018,10,1,0,8,1,0,0,0,0,0,0,0
Geisinger Bloomsburg,PA,Columbia,2018,28,0,0,24,4,0,0,0,0,0,0,0
Meadville,PA,Crawford,2018,23,1,0,18,3,0,0,0,0,0,1,0
Titusville Area,PA,Crawford,2018,7,0,0,0,7,0,0,0,0,0,0,0
Holy Spirit,PA,Cumberland,2018,216,4,5,162,19,1,0,6,0,17,0,2
UPMC Pinnacle Carlisle,PA,Cumberland,2018,28,3,0,11,10,0,0,0,0,4,0,0
Milton S Hershey,PA,Dauphin,2018,601,32,48,248,71,12,5,36,18,83,34,14
UPMC Pinnacle Hospitals,PA,Dauphin,2018,613,27,0,331,115,2,2,34,3,78,20,1
Crozer-Chester,PA,Delaware,2018,190,4,8,107,29,0,2,6,5,20,9,0
Delaware County Memorial,PA,Delaware,2018,74,1,0,58,6,0,0,4,0,0,4,1
Mercy Fitzgerald,PA,Delaware,2018,48,1,1,12,20,1,0,9,1,1,1,1
Riddle Memorial,PA,Delaware,2018,133,8,0,90,28,0,0,0,0,2,5,0
Taylor Crozer,PA,Delaware,2018,12,2,0,1,8,0,0,0,0,1,0,0
Penn Highlands Elk,PA,Elk,2018,5,0,0,3,1,0,0,0,0,1,0,0
Millcreek Community,PA,Erie,2018,12,1,0,2,8,0,0,0,0,0,1,0
Saint Vincent,PA,Erie,2018,231,11,6,93,49,0,2,24,1,26,16,3
UPMC Hamot,PA,Erie,2018,299,7,14,152,40,0,1,31,0,43,10,1
Highlands,PA,Fayette,2018,2,0,0,0,2,0,0,0,0,0,0,0
Uniontown,PA,Fayette,2018,112,1,0,75,26,1,0,3,0,2,4,0
Chambersburg,PA,Franklin,2018,110,2,0,51,30,0,0,3,0,19,5,0
Waynesboro,PA,Franklin,2018,54,0,0,49,4,0,0,0,0,0,1,0
JC Blair Memorial,PA,Huntingdon,2018,19,0,0,9,10,0,0,0,0,0,0,0
Indiana Regional,PA,Indiana,2018,70,4,0,45,17,0,0,0,0,0,4,0
Penn Highlands Brookville,PA,Jefferson,2018,2,0,0,1,1,0,0,0,0,0,0,0
Punxsutawney Area,PA,Jefferson,2018,13,0,0,6,5,0,0,0,0,1,1,0
Geisinger Community,PA,Lackawanna,2018,195,2,12,102,28,0,0,30,0,2,19,0
Moses Taylor,PA,Lackawanna,2018,88,1,0,70,12,0,0,0,0,2,3,0
Regional Scranton,PA,Lackawanna,2018,131,15,0,31,12,0,0,30,0,41,2,0
Ephrata Community,PA,Lancaster,2018,84,3,0,54,15,0,0,11,0,1,0,0
Lancaster General,PA,Lancaster,2018,762,40,18,411,103,1,0,42,0,111,34,2
UPMC Pinnacle Lancaster,PA,Lancaster,2018,60,5,2,6,7,1,0,10,4,18,4,3
UPMC Pinnacle Lititz,PA,Lancaster,2018,61,2,0,54,5,0,0,0,0,0,0,0
