Hospital_Name,Address,City,State,County,Zip,Lat,Long,Location,Phone,Hospital_Type,Hospital_Ownership,Emergency_Services,Meets_criteria_for_meaningful_use_of_EHRs,Hospital_overall_rating,Hospital_overall_rating_footnote,Mortality_national_comparison,Mortality_national_comparison_footnote,Safety_of_care_national_comparison,Safety_of_care_national_comparison_footnote,Readmission_national_comparison,Readmission_national_comparison_footnote,Patient_experience_national_comparison,Patient_experience_national_comparison_footnote,Effectiveness_of_care_national_comparison,Effectiveness_of_care_national_comparison_footnote,Timeliness_of_care_national_comparison,Timeliness_of_care_national_comparison_footnote,Efficient_use of_medical_imaging_national_comparison,Efficient_use_of_medical_imaging_national_comparison_footnote,Emergency_Room,Hospital_Compare_Star_Rating,Star_rating_weight_and_score,Leapfrog_Safety_Grade,Leapfrog_grade_conversion,Leapfrog_weight_and_score,US_News_and_World_Report_State_Ranking,US_News_ranking_conversion,US_News_weight_and_score,Magnet_Designation,Magnet_rating,Magnet_weight_and_score,Magnet_Designation_Year,Redesignation,Info,Total_composite_score
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET,OAK LAWN,IL,COOK,60453,41.720316,-87.732364,"4440 W 95TH STREET OAK LAWN, IL",(708) 684-8000,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,3,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Yes,3,1.05,C,3,1.05,4,5,0.75,Y,5,0.75,2014,redesignation,1,3.6
ADVOCATE CONDELL MEDICAL CENTER,801 S MILWAUKEE AVE,LIBERTYVILLE,IL,LAKE,60048,42.274563,-87.95165,"801 S MILWAUKEE AVE LIBERTYVILLE, IL",(847) 362-2900,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,C,3,1.05,13,3,0.45,Y,5,0.75,2017,,1,4
ADVOCATE GOOD SAMARITAN HOSPITAL,3815 HIGHLAND AVENUE,DOWNERS GROVE,IL,DUPAGE,60515,41.819137,-88.01022,"3815 HIGHLAND AVENUE DOWNERS GROVE, IL",(630) 275-5900,Acute Care Hospital,Voluntary non-profit - Church,FALSE,TRUE,4,,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,Yes,4,1.4,C,3,1.05,9,4,0.6,Y,5,0.75,2018,redesignation,1,3.8
ADVOCATE GOOD SHEPHERD HOSPITAL,450 WEST HIGHWAY 22,BARRINGTON,IL,LAKE,60010,42.193415,-88.177959,"450 WEST HIGHWAY 22 BARRINGTON, IL",(847) 381-9600,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,4,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,C,3,1.05,25,1,0.15,Y,5,0.75,2018,redesignation,1,3.35
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 WEST WELLINGTON AVENUE,CHICAGO,IL,COOK,60657,41.936315,-87.651554,"836 WEST WELLINGTON AVENUE CHICAGO, IL",(773) 975-1600,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,3,1.05,B,4,1.4,25,1,0.15,Y,5,0.75,2017,redesignation,1,3.35
ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 DEMPSTER ST,PARK RIDGE,IL,COOK,60068,42.039748,-87.848146,"1775 DEMPSTER ST PARK RIDGE, IL",(847) 723-2210,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,4,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,C,3,1.05,10,4,0.6,Y,5,0.75,2014,redesignation,1,3.8
ADVOCATE SHERMAN HOSPITAL,1425 NORTH RANDALL ROAD,ELGIN,IL,KANE,60123,42.070221,-88.331468,"1425 NORTH RANDALL ROAD ELGIN, IL",(847) 742-9800,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Above the national average,,Yes,5,1.75,B,4,1.4,10,4,0.6,Y,5,0.75,2018,redesignation,1,4.5
ADVOCATE SOUTH SUBURBAN HOSPITAL,17800 S KEDZIE AVE,HAZEL CREST,IL,COOK,60429,41.566922,-87.694399,"17800 S KEDZIE AVE HAZEL CREST, IL",(708) 799-8000,Acute Care Hospital,Voluntary non-profit - Church,FALSE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,Yes,3,1.05,C,3,1.05,0,0,0,N,0,0,,,1,2.1
ADVOCATE TRINITY HOSPITAL,2320 E 93RD ST,CHICAGO,IL,COOK,60617,41.726211,-87.56725,"2320 E 93RD ST CHICAGO, IL",(773) 967-2000,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,3,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,Yes,3,1.05,C,3,1.05,0,0,0,N,0,0,,,1,2.1
AMITA HEALTH ADVENTIST BOLINGBROOK HOSPITAL,500 REMINGTON BOULEVARD,BOLINGBROOK,IL,WILL,60440,41.679388,-88.083883,"500 REMINGTON BOULEVARD BOLINGBROOK, IL",(630) 312-5000,Acute Care Hospital,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,,,1,2.8
AMITA HEALTH ADVENTIST GLENOAKS,701 WINTHROP AVENUE,GLENDALE HEIGHTS,IL,DUPAGE,60139,41.915166,-88.058597,"701 WINTHROP AVENUE GLENDALE HEIGHTS, IL",(630) 545-8000,Acute Care Hospital,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,,,1,2.8
"AMITA HEALTH ADVENTIST MEDICAL CENTER, HINSDALE",120 NORTH OAK ST,HINSDALE,IL,DUPAGE,60521,41.805329,-87.920062,"120 NORTH OAK ST HINSDALE, IL",(630) 856-9000,Acute Care Hospital,Voluntary non-profit - Church,TRUE,TRUE,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,5,1.75,A,5,1.75,16,2,0.3,Y,5,0.75,2015,,1,4.55
