Hospital_Name,Address,City,State,County,Zip,Lat,Long,Location,Phone,Mortality_national_comparison,Mortality_national_comparison_footnote,Safety_of_care_national_comparison,Safety_of_care_national_comparison_footnote,Readmission_national_comparison,Readmission_national comparison_footnote,Patient_experience national_comparison,Patient_experience national comparison_footnote,Effectiveness_of_care_national_comparison,Effectiveness_of_care_national_comparison_footnote,Timeliness_of_care_national_comparison,Timeliness_of_care_national_comparison_footnote,Efficient_use of_medical_imaging_national_comparison,Efficient_use_of_medical_imaging_national_comparison_footnote,Emergency_Room,Hospital_Compare_Star_Rating,Star rating weight and score,Leapfrog_Safety_Grade,Leapfrog grade conversion,Leapfrog weight and score,US_News_and_World_Report_State_Ranking,US News ranking conversion,US News weight and score,Magnet_Designation,Magnet weight and score,Magnet weight and score,Total_composite_score,url
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET,OAK LAWN,IL,COOK,60453,41.720316,-87.732364,"4440 W 95TH STREET OAK LAWN, IL",(708) 684-8000,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Yes,3,1.05,C,3,1.05,4,5,0.75,Y,5,0.75,4,https://www.advocatehealth.com/cmc/
ADVOCATE CONDELL MEDICAL CENTER,801 S MILWAUKEE AVE,LIBERTYVILLE,IL,LAKE,60048,42.274563,-87.95165,"801 S MILWAUKEE AVE LIBERTYVILLE, IL",(847) 362-2900,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,5,1.75,C,3,1.05,13,3,0.45,Y,5,0.75,4,https://www.advocatehealth.com/condell/
ADVOCATE GOOD SAMARITAN HOSPITAL,3815 HIGHLAND AVENUE,DOWNERS GROVE,IL,DUPAGE,60515,41.819137,-88.01022,"3815 HIGHLAND AVENUE DOWNERS GROVE, IL",(630) 275-5900,Above the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,Yes,4,1.4,C,3,1.05,9,4,0.6,Y,5,0.75,4,https://www.advocatehealth.com/gsam/
ADVOCATE GOOD SHEPHERD HOSPITAL,450 WEST HIGHWAY 22,BARRINGTON,IL,LAKE,60010,42.193415,-88.177959,"450 WEST HIGHWAY 22 BARRINGTON, IL",(847) 381-9600,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,C,3,1.05,25,1,0.15,Y,5,0.75,3,https://www.advocatehealth.com/gshp/
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,836 WEST WELLINGTON AVENUE,CHICAGO,IL,COOK,60657,41.936315,-87.651554,"836 WEST WELLINGTON AVENUE CHICAGO, IL",(773) 975-1600,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Yes,3,1.05,B,4,1.4,25,1,0.15,Y,5,0.75,3,https://www.advocatehealth.com/immc/
ADVOCATE LUTHERAN GENERAL HOSPITAL,1775 DEMPSTER ST,PARK RIDGE,IL,COOK,60068,42.039748,-87.848146,"1775 DEMPSTER ST PARK RIDGE, IL",(847) 723-2210,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Yes,4,1.4,C,3,1.05,10,4,0.6,Y,5,0.75,4,https://www.advocatehealth.com/luth/
ADVOCATE SHERMAN HOSPITAL,1425 NORTH RANDALL ROAD,ELGIN,IL,KANE,60123,42.070221,-88.331468,"1425 NORTH RANDALL ROAD ELGIN, IL",(847) 742-9800,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Above the national average,,Yes,5,1.75,B,4,1.4,10,4,0.6,Y,5,0.75,5,https://www.advocatehealth.com/sherman/
ADVOCATE SOUTH SUBURBAN HOSPITAL,17800 S KEDZIE AVE,HAZEL CREST,IL,COOK,60429,41.566922,-87.694399,"17800 S KEDZIE AVE HAZEL CREST, IL",(708) 799-8000,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,Yes,3,1.05,C,3,1.05,0,0,0,N,0,0,2,https://www.advocatehealth.com/ssub/
ADVOCATE TRINITY HOSPITAL,2320 E 93RD ST,CHICAGO,IL,COOK,60617,41.726211,-87.56725,"2320 E 93RD ST CHICAGO, IL",(773) 967-2000,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,Yes,3,1.05,C,3,1.05,0,0,0,N,0,0,2,https://www.advocatehealth.com/trin/
AMITA HEALTH ADVENTIST BOLINGBROOK HOSPITAL,500 REMINGTON BOULEVARD,BOLINGBROOK,IL,WILL,60440,41.679388,-88.083883,"500 REMINGTON BOULEVARD BOLINGBROOK, IL",(630) 312-5000,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Yes,3,1.05,A,5,1.75,0,0,0,N,0,0,3,https://www.amitahealth.org/locations/hospitals/bolingbrook
