Hospital Name,State,County,Year,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach,Total Surgeries for All Cancer Types,National Cancer Institute Designation?
All PA Hospitals Combined,PA,N/A,2018,"1,073","1,173","11,549","3,632",359,539,"2,410",520,"3,281",901,319,"25,756",N/A
WellSpan Gettysburg,PA,Adams,2018,1,0,57,27,0,0,0,0,1,1,0,87,No
Allegheny General,PA,Allegheny,2018,29,104,184,79,18,33,113,49,97,27,13,746,No
Allegheny Valley,PA,Allegheny,2018,0,0,35,10,0,0,0,0,0,0,0,45,No
Forbes,PA,Allegheny,2018,18,6,112,54,2,0,31,0,8,7,0,238,No
Heritage Valley Sewickley,PA,Allegheny,2018,6,0,40,17,1,0,1,0,5,1,0,71,No
Jefferson,PA,Allegheny,2018,10,0,109,54,0,0,20,0,17,7,4,221,No
Magee Womens UPMC,PA,Allegheny,2018,1,0,819,4,0,0,0,0,0,1,3,828,Yes
Ohio Valley,PA,Allegheny,2018,2,0,17,5,0,0,0,0,0,2,0,26,No
St Clair,PA,Allegheny,2018,14,0,203,48,4,0,52,0,81,13,1,416,No
UPMC East,PA,Allegheny,2018,11,0,2,24,0,0,10,0,2,0,1,50,No
UPMC McKeesport,PA,Allegheny,2018,2,0,6,14,0,0,0,0,1,0,0,23,Yes
UPMC Mercy,PA,Allegheny,2018,35,14,3,22,7,1,35,0,55,5,0,177,No
UPMC Passavant,PA,Allegheny,2018,3,0,211,115,18,37,71,0,27,62,4,548,Yes
UPMC Presby Shadyside,PA,Allegheny,2018,104,168,80,181,54,130,170,85,342,39,38,"1,391",Yes
UPMC St Margaret,PA,Allegheny,2018,8,0,46,40,0,1,48,0,1,5,4,153,No
West Penn,PA,Allegheny,2018,2,5,64,6,15,2,0,1,7,4,4,110,No
ACMH,PA,Armstrong,2018,2,0,21,11,0,0,5,0,0,2,0,41,No
Heritage Valley Beaver,PA,Beaver,2018,5,0,96,32,0,0,5,0,4,8,2,152,No
UPMC Bedford,PA,Bedford,2018,2,0,9,4,0,0,0,0,2,0,0,17,No
Reading,PA,Berks,2018,29,13,192,69,2,0,36,7,56,7,4,415,No
St Joseph Reading,PA,Berks,2018,1,2,58,24,0,0,9,0,0,3,2,99,No
Surgical Inst Reading,PA,Berks,2018,0,0,15,1,0,0,0,0,0,0,0,16,No
Conemaugh Nason MC,PA,Blair,2018,0,0,10,6,0,0,0,0,0,0,0,16,No
