Hospital.Name,State,County,Year,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach,Total.Surgeries.for.All.Cancer.Types,National.Cancer.Institute.Designation.
Abington Memorial,PA,Montgomery,2018,6,19,146,82,6,3,49,8,47,24,6,396,No
ACMH,PA,Armstrong,2018,2,0,21,11,0,0,5,0,0,2,0,41,No
Adventist Medical Center,CA,Kings,2017,0,0,40,14,1,0,1,0,1,9,1,67,No
AHMC Anaheim Regional Medical Center,CA,Orange,2017,1,3,97,35,0,0,11,0,8,1,1,157,No
Alameda Hospital,CA,Alameda,2017,0,0,2,1,0,0,0,0,0,2,0,5,No
Albert Einstein,PA,Philadelphia,2018,8,10,168,36,2,5,16,5,33,4,2,289,No
Alhambra Hospital Medical Center,CA,Los Angeles,2017,0,0,17,31,0,1,9,0,1,13,10,82,No
Allegheny General,PA,Allegheny,2018,29,104,184,79,18,33,113,49,97,27,13,746,No
Allegheny Valley,PA,Allegheny,2018,0,0,35,10,0,0,0,0,0,0,0,45,No
Alta Bates Summit Medical Center,CA,Alameda,2017,0,0,303,69,6,7,23,6,25,28,15,482,No
Alta Bates Summit Medical Center Alta Bates Campus,CA,Alameda,2017,0,7,75,9,0,2,0,2,3,1,3,102,No
Alta Bates Summit Medical Center Summit Campus Hawthorne,CA,Alameda,2014,0,0,311,60,0,7,15,6,24,13,9,445,No
Alvarado Hospital,CA,San Diego,2017,0,1,12,6,1,0,3,0,1,1,0,25,No
Anaheim General Hospital,CA,Orange,2013,0,0,2,0,0,0,0,0,0,0,0,2,No
Anaheim Global Medical Center,CA,Orange,2017,0,0,1,1,0,1,2,0,0,1,0,6,No
Antelope Valley Hospital,CA,Los Angeles,2017,0,22,118,29,0,3,7,5,32,10,5,231,No
Arrowhead Regional Medical Center,CA,San Bernardino,2017,2,28,30,15,0,2,4,2,7,11,4,105,No
Bakersfield Heart Hospital,CA,Kern,2017,0,0,4,5,0,0,0,0,0,0,1,10,No
Bakersfield Memorial Hospital,CA,Kern,2017,2,20,73,35,0,1,15,1,11,13,2,173,No
Banner Lassen Medical Center,CA,Lassen,2016,0,0,0,1,0,0,0,0,0,0,0,1,No
Barnes-Kasson County,PA,Susquehanna,2018,0,0,0,1,0,0,0,0,0,0,0,1,No
Barstow Community Hospital,CA,San Bernardino,2017,0,0,5,1,0,0,0,0,0,0,0,6,No
Barton Memorial Hospital,CA,El Dorado,2017,1,0,12,4,0,0,0,0,8,3,0,28,No
Bellflower Medical Center,CA,Los Angeles,2013,0,0,4,2,0,0,0,0,0,0,0,6,No
Berwick,PA,Columbia,2018,1,0,8,1,0,0,0,0,0,0,0,10,No
Beverly Hospital,CA,Los Angeles,2017,1,0,38,5,0,0,1,0,5,5,3,58,No
Biggs Gridley Memorial Hospital,CA,Butte,2014,0,0,1,2,0,0,0,0,0,0,0,3,No
Blue Mountain,PA,Carbon,2018,0,0,9,6,1,0,0,0,0,0,0,16,No
Bradford Regional,PA,McKean,2018,0,0,21,5,0,0,0,0,0,0,1,27,No
Brandywine,PA,Chester,2018,3,0,21,10,0,0,2,0,3,3,0,42,No
Bryn Mawr,PA,Montgomery,2018,22,3,155,32,0,1,25,0,115,10,3,366,No
Butler Memorial,PA,Butler,2018,7,2,59,31,0,0,26,0,31,0,0,156,No
California Hospital Medical Center Los Angeles,CA,Los Angeles,2017,1,7,66,19,1,3,1,3,1,8,5,115,No
California Pacific Medical Center Davies Campus,CA,San Francisco,2017,0,23,55,0,0,0,0,0,0,0,0,78,No
California Pacific Medical Center Pacific Campus,CA,San Francisco,2017,1,23,429,85,5,65,20,43,10,34,13,728,No
California Pacific Medical Center St. Lukeís Campus,CA,San Francisco,2017,0,0,9,7,0,0,0,0,1,2,0,19,No
Canonsburg,PA,Washington,2018,5,0,4,6,0,0,0,0,4,0,0,19,No
Casa Colina Hospital,CA,Los Angeles,2017,0,2,18,3,0,0,0,0,2,2,0,27,No
Cedars Sinai Medical Center,CA,Los Angeles,2017,22,168,755,129,14,64,86,49,158,74,28,1547,No
Centinela Hospital Medical Center,CA,Los Angeles,2017,0,4,6,13,0,1,2,0,0,1,2,29,No
Chambersburg,PA,Franklin,2018,2,0,51,30,0,0,3,0,19,5,0,110,No
Chapman Global Medical Center,CA,Orange,2017,0,0,0,0,0,0,0,0,0,1,0,1,No
Chapman Medical Center,CA,Orange,2014,0,0,1,1,0,0,0,0,0,2,0,4,No
Chester County,PA,Chester,2018,14,0,253,38,0,1,1,0,37,1,0,345,No
Chestnut Hill,PA,Philadelphia,2018,3,0,52,8,0,0,0,0,6,3,0,72,No
Chinese Hospital,CA,San Francisco,2017,0,0,0,15,0,0,0,0,1,2,4,22,No
Chino Valley Medical Center,CA,San Bernardino,2017,0,0,16,6,0,0,0,0,0,3,2,27,No
Citrus Valley Medical Center Inter Community Campus,CA,Los Angeles,2017,0,2,11,20,0,0,1,1,1,1,3,40,No
Citrus Valley Medical Center Queen of the Valley Campus,CA,Los Angeles,2017,5,8,37,26,0,1,4,2,96,4,1,184,No
City of Hope Helford Clinical Research Hospital,CA,Los Angeles,2017,50,77,473,71,10,90,60,30,218,52,26,1157,Yes
Clarion,PA,Clarion,2018,1,0,11,13,0,0,0,0,0,1,0,26,No
Clovis Community Medical Center,CA,Fresno,2017,0,0,336,65,4,0,3,2,32,20,4,466,No
Coast Plaza Hospital,CA,Los Angeles,2017,0,0,4,5,0,0,0,0,0,2,0,11,No
Coastal Communities Hospital,CA,Orange,2014,0,0,26,3,0,0,0,0,1,1,0,31,No
College Medical Center,CA,Los Angeles,2017,1,0,0,5,0,0,0,0,1,1,0,8,No
Colorado River Medical Center,CA,San Bernardino,2016,0,0,1,0,0,0,0,0,0,1,0,2,No
Colusa Regional Medical Center,CA,Colusa,2013,0,0,0,1,0,0,0,0,0,0,0,1,No
Community and Mission Hospital of Huntington Park Slauson,CA,Los Angeles,2017,0,0,2,1,0,0,0,0,0,1,0,4,No
Community Hospital Long Beach,CA,Los Angeles,2017,0,0,1,2,0,1,0,0,0,1,0,5,No
Community Hospital of San Bernardino,CA,San Bernardino,2017,0,0,15,5,0,1,0,0,0,3,1,25,No
Community Hospital of The Monterey Peninsula,CA,Monterey,2017,1,19,55,47,2,3,13,4,6,24,5,179,No
Community Memorial Hospital San Buenaventura,CA,Ventura,2017,4,9,160,41,0,1,18,2,69,17,1,322,No
Community Regional Medical Center  Fresno,CA,Fresno,2017,0,71,70,49,3,8,46,6,29,22,7,311,No
Conemaugh Memorial,PA,Cambria,2018,17,11,81,41,0,2,22,1,26,15,1,217,No
Conemaugh Nason MC,PA,Blair,2018,0,0,10,6,0,0,0,0,0,0,0,16,No
Contra Costa Regional Medical Center,CA,Contra Costa,2017,0,0,46,21,0,2,0,1,1,4,3,78,No
Coordinated Health Ortho,PA,Northampton,2018,1,0,1,0,0,0,0,0,5,0,0,7,No
Corona Regional Medical Center Main,CA,Riverside,2017,0,0,67,20,0,2,0,0,0,7,1,97,No
Crozer-Chester,PA,Delaware,2018,4,8,107,29,0,2,6,5,20,9,0,190,No
Dameron Hospital,CA,San Joaquin,2017,0,0,1,7,0,1,0,2,0,5,0,16,No
Delano Regional Medical Center,CA,Kern,2017,0,0,10,5,0,0,0,0,1,0,0,16,No
Delaware County Memorial,PA,Delaware,2018,1,0,58,6,0,0,4,0,0,4,1,74,No
Desert Regional Medical Center,CA,Riverside,2017,0,30,178,35,3,3,21,0,11,17,2,300,No
Desert Valley Hospital,CA,San Bernardino,2017,4,0,4,3,0,0,3,0,40,3,0,57,No
Doctors Hospital of Manteca,CA,San Joaquin,2017,0,0,34,9,0,0,0,0,0,0,0,43,No
Doctors Medical Center,CA,Stanislaus,2017,2,14,163,42,0,4,14,6,35,22,4,306,No
Doctors Medical Center San Pablo,CA,Contra Costa,2015,0,0,1,0,0,0,0,0,0,1,0,2,No
Dominican Hospital,CA,Santa Cruz,2017,6,16,41,19,0,2,17,0,21,6,1,129,No
Doylestown,PA,Bucks,2018,33,0,89,25,0,0,9,0,32,7,3,198,No
East Los Angeles Doctors Hospital,CA,Los Angeles,2017,0,0,0,2,0,0,0,0,0,4,0,6,No
Eastern Regional,PA,Philadelphia,2018,4,0,94,6,2,3,27,1,18,10,2,167,No
Easton,PA,Northampton,2018,4,0,31,17,1,0,5,1,0,4,3,66,No
Eden Medical Center,CA,Alameda,2017,3,36,67,22,0,2,3,1,2,10,2,148,No
Einstein MC Montgomery,PA,Montgomery,2018,5,0,89,17,0,0,10,0,18,0,0,139,No
