,Hospital.Name,State,County,Year,Bladder,Brain,Breast,Colon,Esophagus,Liver,Lung,Pancreas,Prostate,Rectum,Stomach,Total.Surgeries.for.All.Cancer.Types,National.Cancer.Institute.Designation.
1,Abington Memorial,PA,Montgomery,2018,6,19,146,82,6,3,49,8,47,24,6,396,No
2,ACMH,PA,Armstrong,2018,2,0,21,11,0,0,5,0,0,2,0,41,No
5,Alameda Hospital,CA,Alameda,2018,0,0,2,3,0,0,0,0,0,0,1,6,No
11,Alta Bates Summit Medical Center,CA,Alameda,2018,1,0,345,63,5,9,31,13,25,28,15,535,No
12,Alta Bates Summit Medical Center Alta Bates Campus,CA,Alameda,2018,0,6,60,12,0,1,0,2,2,3,2,88,No
6,Albert Einstein,PA,Philadelphia,2018,8,10,168,36,2,5,16,5,33,4,2,289,No
9,Allegheny General,PA,Allegheny,2018,29,104,184,79,18,33,113,49,97,27,13,746,No
10,Allegheny Valley,PA,Allegheny,2018,0,0,35,10,0,0,0,0,0,0,0,45,No
84,Eden Medical Center,CA,Alameda,2018,2,24,78,20,0,1,8,1,1,6,1,142,No
138,Highland Hospital,CA,Alameda,2018,1,4,37,10,0,0,4,0,17,11,5,89,No
161,Kaiser Foundation Hospital Fremont,CA,Alameda,2018,0,0,115,30,0,0,0,0,1,4,0,150,No
167,Kaiser Foundation Hospital Oakland/Richmond,CA,Alameda,2018,16,0,373,76,45,54,103,51,42,41,4,801,No
178,Kaiser Foundation Hospital San Leandro,CA,Alameda,2018,1,0,118,34,0,0,0,0,1,0,0,154,No
343,Saint Rose Hospital,CA,Alameda,2018,0,0,3,7,0,2,1,0,0,3,1,17,No
355,San Leandro Hospital,CA,Alameda,2018,0,0,2,6,0,0,0,0,0,5,2,15,No
464,Stanford Healh Care Valleycare ,CA,Alameda,2018,0,0,64,15,0,2,8,0,0,1,1,91,No
470,Washington Hospital Fremont,CA,Alameda,2018,0,4,23,24,0,1,3,0,4,9,4,72,No
22,Barnes-Kasson County,PA,Susquehanna,2018,0,0,0,1,0,0,0,0,0,0,0,1,No
406,Sutter Amador Hospital,CA,Amador,2018,0,0,1,7,0,0,0,0,0,3,0,11,No
28,Orchard Hospital,CA,Butte,2014,0,0,1,2,0,0,0,0,0,0,0,3,No
92,Enloe Medical Center  Esplanade,CA,Butte,2018,5,14,211,33,0,5,11,6,14,28,5,332,No
26,Berwick,PA,Columbia,2018,1,0,8,1,0,0,0,0,0,0,0,10,No
99,Feather River Hospital,CA,Butte,2018,0,0,57,12,0,0,2,0,0,1,0,72,No
271,Oroville Hospital,CA,Butte,2018,2,0,57,14,0,0,1,0,74,2,1,151,No
29,Blue Mountain,PA,Carbon,2018,0,0,9,6,1,0,0,0,0,0,0,16,No
30,Bradford Regional,PA,McKean,2018,0,0,21,5,0,0,0,0,0,0,1,27,No
31,Brandywine,PA,Chester,2018,3,0,21,10,0,0,2,0,3,3,0,42,No
32,Bryn Mawr,PA,Montgomery,2018,22,3,155,32,0,1,25,0,115,10,3,366,No
33,Butler Memorial,PA,Butler,2018,7,2,59,31,0,0,26,0,31,0,0,156,No
224,Mark Twain Medical Center,CA,Calaveras,2018,0,0,1,4,0,0,0,0,0,1,0,6,No
58,Colusa Regional Medical Center,CA,Colusa,2013,0,0,0,1,0,0,0,0,0,0,0,1,No
67,Contra Costa Regional Medical Center,CA,Contra Costa,2018,0,0,57,27,0,0,0,0,0,5,3,92,No
38,Canonsburg,PA,Washington,2018,5,0,4,6,0,0,0,0,4,0,0,19,No
155,John Muir Medical Center Concord Campus,CA,Contra Costa,2018,3,0,21,48,11,0,33,0,28,29,1,174,No
156,John Muir Medical Center Walnut Creek Campus,CA,Contra Costa,2018,1,51,82,37,0,5,37,2,2,7,8,232,No
157,Kaiser Foundation Hospital Antioch,CA,Contra Costa,2018,5,0,119,27,0,0,0,0,5,19,1,176,No
42,Chambersburg,PA,Franklin,2018,2,0,51,30,0,0,3,0,19,5,0,110,No
187,Kaiser Foundation Hospital Walnut Creek,CA,Contra Costa,2018,5,0,403,52,0,1,0,1,7,21,2,492,No
357,San Ramon Regional Medical Center,CA,Contra Costa,2018,0,0,101,22,0,0,4,0,5,6,1,139,No
45,Chester County,PA,Chester,2018,14,0,253,38,0,1,1,0,37,1,0,345,No
46,Chestnut Hill,PA,Philadelphia,2018,3,0,52,8,0,0,0,0,6,3,0,72,No
410,Sutter Delta Medical Center,CA,Contra Costa,2018,1,0,24,9,0,0,0,2,4,1,1,42,No
408,Sutter Coast Hospital,CA,Del Norte,2018,0,0,2,1,0,0,0,0,0,0,0,3,No
24,Barton Memorial Hospital,CA,El Dorado,2018,0,0,14,5,0,0,0,0,15,1,0,35,No
225,Marshall Medical Center,CA,El Dorado,2018,0,0,25,17,0,0,2,0,13,3,0,60,No
53,Clovis Community Medical Center,CA,Fresno,2018,1,0,393,52,1,5,19,12,25,26,8,542,No
52,Clarion,PA,Clarion,2018,1,0,11,13,0,0,0,0,0,1,0,26,No
64,Community Regional Medical Center  Fresno,CA,Fresno,2018,0,52,72,59,1,11,29,9,30,35,5,303,No
107,Fresno Surgical Hospital,CA,Fresno,2018,0,0,80,0,0,0,0,0,0,0,0,80,No
162,Kaiser Foundation Hospital Fresno,CA,Fresno,2018,1,8,106,27,0,1,0,0,0,10,1,154,No
325,Saint Agnes Medical Center,CA,Fresno,2018,1,7,156,41,0,3,13,0,42,31,10,304,No
216,Mad River Community Hospital,CA,Humboldt,2018,0,0,4,3,0,0,1,1,0,4,0,13,No
312,Redwood Memorial Hospital,CA,Humboldt,2018,0,0,15,9,0,1,0,1,0,3,0,29,No
335,Saint Joseph Hospital Eureka,CA,Humboldt,2018,2,3,92,23,1,0,8,1,8,4,1,143,No
88,El Centro Regional Medical Center,CA,Imperial,2018,0,0,14,13,0,0,0,0,11,5,1,44,No
292,Pioneers Memorial Healthcare District,CA,Imperial,2018,1,5,38,5,0,0,0,0,1,0,1,51,No
260,Northern Inyo Hospital,CA,Inyo,2018,0,0,18,4,0,0,0,0,0,2,0,24,No
19,Bakersfield Heart Hospital,CA,Kern,2018,0,0,1,4,0,1,1,0,0,0,0,7,No
65,Conemaugh Memorial,PA,Cambria,2018,17,11,81,41,0,2,22,1,26,15,1,217,No
66,Conemaugh Nason MC,PA,Blair,2018,0,0,10,6,0,0,0,0,0,0,0,16,No
20,Bakersfield Memorial Hospital,CA,Kern,2018,1,17,85,36,0,2,7,0,16,8,4,176,No
68,Coordinated Health Ortho,PA,Northampton,2018,1,0,1,0,0,0,0,0,5,0,0,7,No
72,Delano Regional Medical Center,CA,Kern,2018,0,0,10,2,0,0,0,0,0,0,0,12,No
